ID,Time,Prompt,year,L2type,International,Major,Major_category,Age,L1,citizenship,Gender,Age_of_onset,Years_of_studying_En_numbers,ESL_experience,Eng_immersion,Proficiency_test,Prof_test_comment,RunSpanScore,RunSpanTotal,NC_RT,NCWd_RT,NC_score2,RCNb_RT,RCNd_RT,RC_score2,NC_AC,NCWd_AC,RCNb_AC,RCDd_AC,GK_Score,GM_form_1,VC1_raw,VC1_ESS,R1_raw,R1_ESS,W1_WCPM,W1_intro,W1_body,W1_concl,W1_organi,W1_topic,W1_gramm,W1_voice,W1_word,W1_sentence,W1
51,"F, 10.20/2017",Appearance,4th,international,yes,Biology,"Science, Math, and Technology",20,Urdu,Pakistan,Male,4,16,Yes,10,No,,18,34,466,538.5,0.155579399,433,436.55,0.008198614,20,19,20,20,18,T,28,567,19,538,43.4,4.5,3.5,4.5,3.5,4.5,4.5,2.5,4.5,3.5,4.5
52,"F, 10.20/2017",Competition,3rd,resident,no,Computer Science,"Science, Math, and Technology",20,Korean,"Korea, Republic of",Male,7,13,Yes,11,No,,32,47,607.5263158,706.85,0.163488694,461.05,440.05,-0.045548205,20,20,20,20,23,S,36,589,46,632,63.1,2.5,4.5,3.5,3.5,4.5,4.5,4.5,4.5,4.5,4.5
53,"F, 10.20/2017",Competition,3rd,resident,no,Computer Science,"Science, Math, and Technology",20,Korean,USA,Male,12,8,Yes,8,No,,31,46,739.4,801.7,0.084257506,606.85,642,0.057922057,20,20,20,20,23,S,25,552,36,578,74.1,3.5,3.5,3.5,4.5,4.5,3.5,3.5,3,3.5,3.5
54,"S, 10/21/2017",Appearance,2nd,resident,no,Nursing ,Health and Medicine,19,Tigrinya,Ethiopia and America,Female,7,12,Yes,12,No,,22,39,621.1666667,679.0526316,0.093189104,431.9,598.1176471,0.384852158,20,19,20,17,13,T,18,538,19,538,34.8,2.5,2.5,3.5,2.5,1.5,3.5,3.5,3.5,3.5,2.5
55,"S, 10/21/2017",Competition,2nd,resident,no,Nursing,Health and Medicine,19,Hindi,USA,Female,6,13,Yes,19,No,,17,36,653.9,829.8,0.269001376,620.95,512.2,-0.175134874,20,20,20,20,10,S,26,555,19,534,62.4,2,2,2.5,1.5,1.5,3.5,2,2.5,2.5,2
56,"M, 10/23/2017",Appearance,2nd,resident,no,Nursing,Health and Medicine,30,Spanish,Venezuela,Female,24,6,No,18,Yes,"I do not remember, but I pass it",16,28,670.4,909.75,0.357025656,515.5263158,519.85,0.008386932,20,20,20,20,15,T,33,583,34,573,32.7,3.5,2,1.5,1.5,1.5,3.5,3.5,3.5,2.5,2.5
57,"M, 10/23/2017",Competition,3rd,resident,no,Computer Science,"Science, Math, and Technology",20,Chinese,USA,Male,8,12,Yes,12,No,,18,36,813.3,1093.8,0.344891184,676.6,742.3,0.097103163,20,20,20,20,16,S,37,593,37,580,73.6,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,2.5
58,"Tu, 10/24/2017",Appearance,3rd,resident,no,Phycology,Social Sciences,22,Creole,Us,Female,15,7,Yes,6,No,,9,13,961.9,1092.944444,0.136234998,647.15,731.9375,0.131016766,20,18,20,17,11,T,9,503,11,513,,1.5,1,1,1,1,1.5,1.5,1.5,2.5,1
59,"W, 10/25/2017",Competition,3rd,resident,no,Biology,"Science, Math, and Technology",20,farsi,iran,Female,4,16,Yes,5,Yes,85,35,52,728.85,835.15,0.145846196,614,728.55,0.186563518,20,20,20,20,18,S,17,526,35,575,25.2,2.5,3.5,3.5,3.5,2.5,3,3.5,3,3.5,3.5
60,"W, 10/25/2017",Appearance,1st,resident,no,Economics,Social Sciences,18,Chinese,China,Female,12,6,No,6,No,,24,44,729.55,759.45,0.040984168,551.15,631.25,0.145332487,20,20,20,20,20,T,21,547,33,570,69.1,2,2.5,1.5,1.5,2,4.5,2.5,3.5,4.5,2.5
